sku|project_id|polygon_id|latitude|longitude|radius|projektstatus_alt
1345_142|1345|142|50.83783728564129|6.343402665671607|1|2
1345_143|1345|143|50.84234045244946|6.363811628913161|1.1|2
1345_144|1345|144|50.848891377913276|6.350408379790031|1|2
13685_188|13685|188|50.8579843649147|6.495911855377641|1|2
13685_189|13685|189|50.89851728574043|6.445680230512572|1|2
13685_190|13685|190|50.85378592995422|6.457496044528724|1|2
13685_191|13685|191|50.875806930400834|6.423366482203376|1|2
13685_192|13685|192|50.87638114454765|6.4664968195598655|1.5|2
13685_193|13685|193|50.86411984652671|6.436598306842389|1|2
2323_515|2323|515|51.32879283214644|6.670504729885579|1|2
250_110|250|110|51.97714210982937|7.418186230017294|1|2
250_111|250|111|51.98321697258412|7.4155201700597235|1|2
250_112|250|112|51.972422642375804|7.423519338467356|1|2
51540440300_1174|51540440300|1174|6.398387693125975|51.764595870612546|1|2
51660040800_446|51660040800|446|51.27295273861295|6.186185641477954|1|2
51660040800_447|51660040800|447|51.271991251986485|6.199306234380211|1|2
51660320200_457|51660320200|457|51.33935200452403|6.34126383409291|1.2|2
51700120100_505|51700120100|505|51.77105454043356|6.617331013010054|1.4|2
51700120800_511|51700120800|511|51.73838533648661|6.5111840068161975|1.7|2
51700121800_513|51700121800|513|51.791785684751616|6.536258292056086|1|2
51700121800_514|51700121800|514|51.79481095688804|6.523498937718327|1|2
51700121900_503|51700121900|503|51.72530563517162|6.681473602065114|1|2
55580400100_119|55580400100|119|52.00494257227042|7.131510014708598|1.1|2
55660720100_425|55660720100|425|52.34756318802084|7.741263409405729|1.4|2
55660720100_427|55660720100|427|52.34575028474122|7.653346322407671|1|2
55660720100_429|55660720100|429|52.36703121889463|7.719174173296415|1.2|2
55660720100_432|55660720100|432|52.35196104063052|7.700349259581671|1|2
55700160100_499|55700160100|499|51.796355454270845|7.733574440639322|1.4|2
55700160100_500|55700160100|500|51.83345434452145|7.691509969448553|2|2
55700160100_501|55700160100|501|51.76138521901329|7.791399282330592|1|2
55700320000_502|55700320000|502|52.03785270570073|7.841736534175011|1.3|2
